Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1nF,C_0805_2012Metric,34.5,-59.0,90.0,top
C2,0.1uF,C_0805_2012Metric,24.5,-59.5,-90.0,top
C3,470uF,CP_Elec_10x10.5,14.45,-43.0,0.0,top
C5,0.1uF,C_0805_2012Metric,15.83,-30.12,0.0,top
C6,22uF,CP_Elec_10x10.5,12.88,-13.87,0.0,top
C7,0.1uF,C_0805_2012Metric,3.63,-28.82,-90.0,top
D1,DF06S,Diode_Bridge_OnSemi_SDIP-4L,13.15,-57.0,0.0,top
D2,1N5817,D_SOD-323,25.34375,-14.44375,90.0,top
R1,470R,R_0805_2012Metric,29.0,-53.0,0.0,top
R2,470R,R_0805_2012Metric,33.5875,-53.0,0.0,top
R3,470R,R_0805_2012Metric,39.4125,-56.0,180.0,top
SW1,SW_SPDT,SW_SPDT_CK_JS102011SAQN,4.775,-43.0,-90.0,top
U1,ACS712xLCTR-05B,SOIC-8_3.9x4.9mm_P1.27mm,28.905,-61.525,90.0,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,8.88,-26.87,90.0,top
